hostname;macro;value_macro
AO319_TTIB_01;{$WAN1}|{$WAN2}|{$LAN1}|{$BW};119.46.138.62|10.255.242.221|10.1.72.252|10485760
AO319_TTIB_02;{$WAN1}|{$LAN1}|{$BW};119.46.13.60|10.1.72.253|10485760
AO320_TTKA_HO_01;{$WAN1}|{$WAN2}|{$LAN1}|{$BW};61.90.216.76|10.255.243.153|10.100.81.252|26214400
AO320_TTKA_HO_02;{$WAN1}|{$LAN1}|{$BW};119.46.11.56|10.100.81.253|26214400
AO320_TTKA_MBC_01;{$WAN1}|{$LAN1}|{$BW};171.102.46.160|192.168.70.252|10485760
AO320_TTKA_MGC_01;{$WAN1}|{$LAN1}|{$BW};61.90.216.224|10.100.80.252|5242880
AO320_TTKA_MSC_01;{$WAN1}|{$LAN1}|{$BW};61.90.216.82|192.168.21.252|5242880
AO322_TTKL_ELC_01;{$WAN1}|{$LAN1}|{$BW};61.90.216.116|192.168.29.251|5242880
AO322_TTKL_ELC_02;{$WAN1}|{$LAN1}|{$BW};192.168.0.5|192.168.29.252|5242880
AO322_TTKL_EOC_01;{$WAN1}|{$LAN1}|{$BW};58.97.42.14|10.105.103.252|5242880
AO322_TTKL_EOC_02;{$WAN1}|{$LAN1}|{$BW};192.168.0.9|10.105.103.253|5242880
AO322_TTKL_GOC_01;{$WAN1}|{$LAN1}|{$BW};61.90.216.144|192.168.24.252|5242880
AO322_TTKL_GOC_02;{$WAN1}|{$LAN1}|{$BW};192.168.0.6|192.168.24.253|5242880
AO322_TTKL_HO_01;{$WAN1}|{$WAN2}|{$LAN1}|{$BW};58.97.42.94|10.255.241.233|192.168.16.252|52428800
AO322_TTKL_HO_02;{$WAN1}|{$LAN1}|{$BW};58.97.42.18|192.168.16.253|52428800
AO322_TTKL_KOC_01;{$WAN1}|{$LAN1}|{$BW};171.102.43.46|10.100.190.252|5242880
AO322_TTKL_KOC_02;{$WAN1}|{$LAN1}|{$BW};192.168.0.12|10.100.190.253|5242880
AO322_TTKL_LOC_01;{$WAN1}|{$LAN1}|{$BW};61.90.216.196|192.168.65.252|5242880
AO322_TTKL_LOC_02;{$WAN1}|{$LAN1}|{$BW};192.168.0.8|192.168.65.253|5242880
AO322_TTKL_SNS_01;{$WAN1}|{$LAN1}|{$BW};58.97.3.14|10.105.101.252|5242880
AO322_TTKL_SNS_02;{$WAN1}|{$LAN1}|{$BW};192.168.0.7|10.105.101.253|5242880
AO325_TTEN_01;{$WAN1}|{$WAN2}|{$LAN1}|{$BW};58.97.106.214|10.255.240.109|10.200.4.105|10485760
AO325_TTEN_02;{$WAN1}|{$LAN1}|{$BW};119.46.41.102|10.200.4.106|10485760
AO326_TTT_HO_01;{$WAN1}|{$WAN2}|{$LAN1}|{$BW};61.90.173.42|10.255.240.253|10.200.4.67|10485760
AO326_TTT_HO_02;{$WAN1}|{$LAN1}|{$BW};119.46.140.112|10.200.4.68|10485760
AO326_TTT_SR_01;{$WAN1}|{$LAN1}|{$BW};61.90.173.38|192.168.20.3|20971520
AO326_TTT_SR_02;{$WAN1}|{$LAN1}|{$BW};119.46.140.114|192.168.20.4|20971520
AO327_GMTH_GW_01;{$WAN1}|{$LAN1}|{$BW};210.86.149.100|10.200.4.44|10485760
